wavelength,intensity
967.85,138
968.12,136
968.39,133
968.66,134
968.93,132
969.2,135
969.47,136
969.74,138
970.01,137
970.28,143
970.55,135
970.82,134
971.09,140
971.36,143
971.63,136
971.9,139
972.17,141
972.44,140
972.71,138
972.97,137
973.24,138
973.51,142
973.78,139
974.05,137
974.32,135
974.59,140
974.86,137
975.12,134
975.39,136
975.66,137
975.93,137
976.2,133
976.47,136
976.73,142
977,140
977.27,137
977.54,135
977.81,139
978.07,138
978.34,138
978.61,135
978.88,132
979.15,133
979.41,135
979.68,141
979.95,139
980.22,137
980.48,138
980.75,138
981.02,136
981.29,135
981.55,138
981.82,137
982.09,134
982.35,135
982.62,134
982.89,134
983.15,139
983.42,135
983.69,138
983.95,137
984.22,140
984.49,139
984.75,133
985.02,136
985.29,135
985.55,138
985.82,138
986.09,135
986.35,138
986.62,137
986.88,135
987.15,134
987.42,132
987.68,133
987.95,133
988.21,136
988.48,140
988.74,139
989.01,138
989.27,140
989.54,137
989.81,137
990.07,139
990.34,136
990.6,137
990.87,137
991.13,138
991.4,141
991.66,137
991.93,137
992.19,142
992.46,136
992.72,136
992.99,137
993.25,134
993.51,138
993.78,139
994.04,135
994.31,135
994.57,135
994.84,138
995.1,138
995.36,137
995.63,140
995.89,137
996.16,134
996.42,137
996.68,141
996.95,139
997.21,134
997.48,132
997.74,133
998,135
998.27,139
998.53,137
998.79,137
999.06,135
999.32,133
999.58,134
