"Plot Title: CT_20739336"
"#","Date Time, GMT-08:00","Temp, °C (LGR S/N: 20739336, SEN S/N: 20739336)","Specific Conductance, μS/cm (LGR S/N: 20739336)","Salinity, ppt (LGR S/N: 20739336)"
270,03/06/20 01:15:00 PM,25.46,0.0,0.0123
271,03/06/20 01:15:10 PM,25.48,0.0,0.0123
272,03/06/20 01:15:20 PM,25.49,0.0,0.0123
273,03/06/20 01:15:30 PM,25.52,0.0,0.0123
274,03/06/20 01:15:40 PM,25.58,0.0,0.0123
275,03/06/20 01:15:50 PM,25.62,0.0,0.0123
276,03/06/20 01:16:00 PM,25.65,0.0,0.0123
277,03/06/20 01:16:10 PM,25.67,0.0,0.0123
278,03/06/20 01:16:20 PM,25.69,0.0,0.0123
279,03/06/20 01:16:30 PM,25.70,0.0,0.0123
280,03/06/20 01:16:40 PM,25.73,0.0,0.0123
281,03/06/20 01:16:50 PM,25.74,0.0,0.0123
282,03/06/20 01:17:00 PM,25.74,0.0,0.0123
283,03/06/20 01:17:10 PM,25.70,0.0,0.0123
284,03/06/20 01:17:20 PM,25.67,0.0,0.0123
285,03/06/20 01:17:30 PM,25.65,0.0,0.0123
286,03/06/20 01:17:40 PM,25.64,0.0,0.0123
287,03/06/20 01:17:50 PM,25.63,0.0,0.0123
288,03/06/20 01:18:00 PM,25.63,0.0,0.0123
289,03/06/20 01:18:10 PM,25.64,0.0,0.0123
290,03/06/20 01:18:20 PM,25.65,0.0,0.0123
291,03/06/20 01:18:30 PM,25.67,0.0,0.0123
292,03/06/20 01:18:40 PM,25.65,0.0,0.0123
293,03/06/20 01:18:50 PM,25.65,0.0,0.0123
294,03/06/20 01:19:00 PM,25.65,0.0,0.0123
295,03/06/20 01:19:10 PM,25.63,0.0,0.0123
296,03/06/20 01:19:20 PM,25.62,0.0,0.0123
297,03/06/20 01:19:30 PM,25.62,0.0,0.0123
298,03/06/20 01:19:40 PM,25.63,0.0,0.0123
299,03/06/20 01:19:50 PM,25.64,0.0,0.0123
300,03/06/20 01:20:00 PM,25.67,0.0,0.0123
301,03/06/20 01:20:10 PM,25.65,0.0,0.0123
302,03/06/20 01:20:20 PM,25.63,0.0,0.0123
303,03/06/20 01:20:30 PM,25.62,0.0,0.0123
304,03/06/20 01:20:40 PM,25.62,0.0,0.0123
305,03/06/20 01:20:50 PM,25.62,0.0,0.0123
306,03/06/20 01:21:00 PM,25.60,0.0,0.0123
307,03/06/20 01:21:10 PM,25.62,0.0,0.0123
308,03/06/20 01:21:20 PM,25.62,0.0,0.0123
309,03/06/20 01:21:30 PM,25.63,0.0,0.0123
310,03/06/20 01:21:40 PM,25.63,0.0,0.0123
311,03/06/20 01:21:50 PM,25.63,0.0,0.0123
312,03/06/20 01:22:00 PM,25.60,0.0,0.0123
313,03/06/20 01:22:10 PM,25.62,0.0,0.0123
314,03/06/20 01:22:20 PM,25.62,0.0,0.0123
315,03/06/20 01:22:30 PM,25.62,0.0,0.0123
316,03/06/20 01:22:40 PM,25.64,0.0,0.0123
317,03/06/20 01:22:50 PM,25.67,0.0,0.0123
318,03/06/20 01:23:00 PM,25.67,0.0,0.0123
319,03/06/20 01:23:10 PM,25.67,0.0,0.0123
320,03/06/20 01:23:20 PM,25.72,0.0,0.0123
321,03/06/20 01:23:30 PM,25.72,0.0,0.0123
322,03/06/20 01:23:40 PM,25.72,0.0,0.0123
323,03/06/20 01:23:50 PM,25.73,0.0,0.0123
324,03/06/20 01:24:00 PM,25.74,0.0,0.0123
325,03/06/20 01:24:10 PM,25.75,0.0,0.0123
326,03/06/20 01:24:20 PM,25.74,0.0,0.0123
